Clinical Synopsis Search - 'neuromuscular disorders (Entries with: clinical synopsis; Retrieve: clinical synopsis)'
Downloaded:	Sep 17, 2017
Copyright (c) 1966-2017 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Entrez Gene ID
#232500	GLYCOGEN STORAGE DISEASE IV; GSD4	
258470	OPHTHALMOPLEGIC NEUROMUSCULAR DISORDER WITH ABNORMAL MITOCHONDRIA	
#500007	CYCLIC VOMITING SYNDROME; CVS	
#254300	MYASTHENIC SYNDROME, CONGENITAL, 10; CMS10	
#159001	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B; LGMD1B	
#310300	EMERY-DREIFUSS MUSCULAR DYSTROPHY 1, X-LINKED; EDMD1	
#253300	SPINAL MUSCULAR ATROPHY, TYPE I; SMA1	
#253700	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2C; LGMD2C	
#117000	CENTRAL CORE DISEASE OF MUSCLE; CCD	
#610542	MYASTHENIC SYNDROME, CONGENITAL, 12; CMS12	
#614750	MYASTHENIC SYNDROME, CONGENITAL, 13; CMS13	
#160900	MYOTONIC DYSTROPHY 1; DM1	
#181350	EMERY-DREIFUSS MUSCULAR DYSTROPHY 2, AUTOSOMAL DOMINANT; EDMD2	
#158900	FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1; FSHD1	
#616228	MYASTHENIC SYNDROME, CONGENITAL, 14; CMS14	
#604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN	
#601455	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4D; CMT4D	
#605285	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, RUSSE TYPE; HMSNR	
#601419	MYOPATHY, MYOFIBRILLAR, 1; MFM1	
#602668	MYOTONIC DYSTROPHY 2; DM2	
#617143	MYASTHENIC SYNDROME, CONGENITAL, 20, PRESYNAPTIC; CMS20	
#615356	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2S; LGMD2S	
#265000	MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT; EVMPS	
#605726	SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 2; DSMA2	
#123320	CREATINE PHOSPHOKINASE, ELEVATED SERUM	
#616866	SPINAL MUSCULAR ATROPHY WITH CONGENITAL BONE FRACTURES 1; SMABF1	
#605809	MYASTHENIC SYNDROME, CONGENITAL, 4A, SLOW-CHANNEL; CMS4A	
#616330	MYASTHENIC SYNDROME, CONGENITAL, 18; CMS18	
#617527	NEURODEVELOPMENTAL DISORDER WITH PROGRESSIVE MICROCEPHALY, SPASTICITY, AND BRAIN ANOMALIES; NDMSBA	
#253400	SPINAL MUSCULAR ATROPHY, TYPE III; SMA3	
#158600	SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 1, AUTOSOMAL DOMINANT; SMALED1	
#159950	SPINAL MUSCULAR ATROPHY WITH PROGRESSIVE MYOCLONIC EPILEPSY; SMAPME	
#255110	CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, MYOPATHIC, STRESS-INDUCED	
#601559	STUVE-WIEDEMANN SYNDROME	
#255320	MINICORE MYOPATHY WITH EXTERNAL OPHTHALMOPLEGIA	
%162370	NEUROPATHY, CONGENITAL, WITH ARTHROGRYPOSIS MULTIPLEX	
#615838	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 8; MC3DN8	
#612954	MYOPATHY, MYOFIBRILLAR, 6; MFM6	
#310490	COWCHOCK SYNDROME; COWCK	
%182960	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE I; HMN1	
#161800	NEMALINE MYOPATHY 3; NEM3	
#253550	SPINAL MUSCULAR ATROPHY, TYPE II; SMA2	
#617027	HYPERALDOSTERONISM, FAMILIAL, TYPE IV; HALD4	
#615120	MYASTHENIC SYNDROME, CONGENITAL, 8; CMS8	
#604320	SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 1; DSMA1	
#615512	TRIOSEPHOSPHATE ISOMERASE DEFICIENCY; TPID	
#617114	MYOPATHY, MYOFIBRILLAR, 7; MFM7	
#603034	MYASTHENIC SYNDROME, CONGENITAL, 5; CMS5	
#616040	MYASTHENIC SYNDROME, CONGENITAL, 7, PRESYNAPTIC; CMS7	
#606071	HEREDITARY MOTOR AND SENSORY NEUROPATHY, TYPE IIC; HMSN2C	
#601462	MYASTHENIC SYNDROME, CONGENITAL, 1A, SLOW-CHANNEL; CMS1A	
#232400	GLYCOGEN STORAGE DISEASE III; GSD3	
#604169	LEFT VENTRICULAR NONCOMPACTION 1; LVNC1	
#608931	MYASTHENIC SYNDROME, CONGENITAL, 4C, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY; CMS4C	
#254210	MYASTHENIC SYNDROME, CONGENITAL, 6, PRESYNAPTIC; CMS6	
160990	MYOTONIC MYOPATHY WITH CYLINDRICAL SPIRALS	
#616322	MYASTHENIC SYNDROME, CONGENITAL, 3B, FAST-CHANNEL; CMS3B	
#616313	MYASTHENIC SYNDROME, CONGENITAL, 2A, SLOW-CHANNEL; CMS2A	
#105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	
#255200	MYOPATHY, CENTRONUCLEAR, 2; CNM2	
#616326	MYASTHENIC SYNDROME, CONGENITAL, 11, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY; CMS11	
#226670	EPIDERMOLYSIS BULLOSA SIMPLEX WITH MUSCULAR DYSTROPHY; EBSMD	
#616321	MYASTHENIC SYNDROME, CONGENITAL, 3A, SLOW-CHANNEL; CMS3A	
#616007	CATARACTS, GROWTH HORMONE DEFICIENCY, SENSORY NEUROPATHY, SENSORINEURAL HEARING LOSS, AND SKELETAL DYSPLASIA; CAGSSS	
#608930	MYASTHENIC SYNDROME, CONGENITAL, 1B, FAST-CHANNEL; CMS1B	
#616324	MYASTHENIC SYNDROME, CONGENITAL, 4B, FAST-CHANNEL; CMS4B	
#616720	MYASTHENIC SYNDROME, CONGENITAL, 19; CMS19	
#146200	HYPOPARATHYROIDISM, FAMILIAL ISOLATED; FIH	
#310200	MUSCULAR DYSTROPHY, DUCHENNE TYPE; DMD	
#208150	FETAL AKINESIA DEFORMATION SEQUENCE; FADS	
#614198	MYASTHENIC SYNDROME, CONGENITAL, 16; CMS16	
