Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
1p		ANON1	Anorexia nervosa, susceptibility to, 1	606788		{Anorexia nervosa, susceptibility to, 1}	606788		2	
1p36		CMM, MLM, DNS	Cutaneous malignant melanoma/dysplastic nevus	155600	some linkage studies negative; see 9p	{Melanoma, cutaneous malignant, 1}	155600	Autosomal dominant	2	
1pter-p36.13		CTRCT8, CCV	Cataract, congenital, Volkmann type	115665	linked to Rh in Scottish family	Cataract 8, multiple types	115665	Autosomal dominant	2	
1p36		DEL1p36, C1DELp36	Chromosome 1p36 deletion syndrome	607872	contiguous gene deletion syndrome	Chromosome 1p36 deletion syndrome	607872	Isolated cases	4	
1p		PSORS7	Psoriasis susceptibility 7	605606		{Psoriasis susceptibility 7}	605606		2	
1p36		SCAR4, SCASI	Spinocerebellar ataxia, autosomal recessive 4	607317		Spinocerebellar ataxia, autosomal recessive 4	607317	Autosomal recessive	2	
1p36.33	1:1020101-1056118	AGRN, CMS8	Agrin	103320		Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects	615120	Autosomal recessive	3	Agrn
1p36.33	1:1232248-1235040	B3GALT6, SEMDJL1, EDSP2	UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	615291		Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures	271640	Autosomal recessive	3	B3galt6
1p36.33	1:1232248-1235040	B3GALT6, SEMDJL1, EDSP2	UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	615291		Ehlers-Danlos syndrome, progeroid type, 2	615349	Autosomal recessive	3	B3galt6
1p36.33	1:1335277-1349141	DVL1, DRS2	Dishevelled 1 (homologous to Drosophila dsh)	601365		Robinow syndrome, autosomal dominant 2	616331	Autosomal dominant	3	Dvl1
1p36.33	1:1401895-1407312	MRPL20	Mitochondrial ribosomal protein L20	611833					Mrpl20
1p36.33	1:1512142-1534686	ATAD3A, HAYOS	ATPase family, AAA domain-containing, member 3A	612316	one family with AR inheritance reported	Harel-Yoon syndrome	617183	Autosomal dominant; Autosomal recessive	3	Atad3a
1p36.33	1:1534777-1540359	TMEM240, C1orf70, SCA21	Transmembrane protein 240	616101		Spinocerebellar ataxia 21	607454	Autosomal dominant	3	Tmem240
1p36.33	1:1785284-1891116	GNB1, MRD42	Guanine nucleotide-binding protein, beta polypeptide-1	139380		Mental retardation, autosomal dominant 42	616973	Autosomal dominant	3	Gnb1
1p36.33	1:1785284-1891116	GNB1, MRD42	Guanine nucleotide-binding protein, beta polypeptide-1	139380		Leukemia, acute lymphoblastic, somatic	613065		3	Gnb1
1p36.33	1:2019328-2030752	GABRD, GEFSP5, EIG10, EJM7	Gamma-aminobutyric acid (GABA) A receptor, delta	137163		{Epilepsy, juvenile myoclonic, susceptibility to}	613060	Autosomal dominant	3	Gabrd
1p36.33	1:2019328-2030752	GABRD, GEFSP5, EIG10, EJM7	Gamma-aminobutyric acid (GABA) A receptor, delta	137163		{Epilepsy, idiopathic generalized, 10}	613060	Autosomal dominant	3	Gabrd
1p36.33	1:2019328-2030752	GABRD, GEFSP5, EIG10, EJM7	Gamma-aminobutyric acid (GABA) A receptor, delta	137163		{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}	613060	Autosomal dominant	3	Gabrd
1p36.33-p36.32	1:2228694-2310212	SKI, SGS	Avian sarcoma viral (v-ski) oncogene homolog	164780	formerly mapped to 1q22-q24	Shprintzen-Goldberg syndrome	182212	Autosomal dominant	3	Ski
1p36.32-p35.3	1:2300000-29900000	KONDS	Kondoh syndrome (mental retardation, microcephaly, growth retardation, joint contractures, and facial dysmorphism)	606242	linked to rs966321 and rs1441834	Kondoh syndrome	606242	Autosomal recessive	2	
1p36.32	1:2404801-2412621	PEX10, NALD, PBD6A, PBD6B	Peroxisome biogenesis factor 10	602859		Peroxisome biogenesis disorder 6B	614871	Autosomal recessive	3	Pex10
1p36.32	1:2404801-2412621	PEX10, NALD, PBD6A, PBD6B	Peroxisome biogenesis factor 10	602859		Peroxisome biogenesis disorder 6A (Zellweger)	614870	Autosomal recessive	3	Pex10
1p36.32	1:3069024-3438620	PRDM16, MEL1, LVNC8, CMD1LL	PR domain-containing protein 16	605557		Left ventricular noncompaction 8	615373	Autosomal dominant	3	Prdm16
1p36.32	1:3069024-3438620	PRDM16, MEL1, LVNC8, CMD1LL	PR domain-containing protein 16	605557		Cardiomyopathy, dilated, 1LL	615373	Autosomal dominant	3	Prdm16
1p36.32	1:3812080-3857386	CEP104, GLYBP, KIAA0562, JBTS25	Centrosomal protein, 104kD	616690		Joubert syndrome 25	616781	Autosomal recessive	3	Cep104
1p36.31	1:5862807-5992472	NPHP4, SLSN4	Nephrocystin 4	607215		Senior-Loken syndrome 4	606996	Autosomal recessive	3	Nphp4
1p36.31	1:5862807-5992472	NPHP4, SLSN4	Nephrocystin 4	607215		Nephronophthisis 4	606966	Autosomal recessive	3	Nphp4
1p36.31	1:6185019-6199618	RPL22, EAP	Ribosomal protein L22	180474	fused with AML1 in t(3;21)				Rpl22
1p36.31	1:6221192-6235983	ICMT	Isoprenylcysteine carboxylmethyltransferase	605851					Icmt
1p36.31	1:6466091-6520060	PLEKHG5, KIAA0720, DSMA4, CMTRIC	Pleckstrin homology domain-containing protein, family G, member 5	611101		Spinal muscular atrophy, distal, autosomal recessive, 4	611067	Autosomal recessive	3	Plekhg5
